Region,Latitude,Longitude,Green_Space_Area_sqm,AQI,PM2.5,PM10,Rainfall_mm,Season,Transit_Stops,CO2_Emission_Private_g_per_km,CO2_Emission_Public_g_per_km,Travel_Time_mins,Road_Quality_Index,Traffic_Congestion_Index,Average_Vehicle_Speed_kmph
Tambaram,12.88736745657145,80.28216863178098,3024,91,50.16592560607725,91.94461436243591,375,Winter,13,359.07593397054427,128.1660655739335,44,59,4,37.55170886148332
Mogappair,13.122717850605033,80.10329989811315,4323,96,75.37357744398614,113.10572789691079,453,Summer,6,108.68009709910878,159.37954123230247,46,52,8,36.856752319945144
Chromepet,12.981742458359083,80.20953844597474,3322,104,55.4366441050981,111.49352674860259,366,Rainy,5,162.14741641039288,100.68106446663283,31,85,3,42.22617927906548
Poonamallee,13.138108559600573,80.15844582609647,4586,68,86.77350214559027,145.40079888985883,316,Summer,5,461.610828114465,78.95540692796237,21,72,3,47.836399717232126
Egmore,12.808942415463182,80.14377306064198,3332,149,80.78627553457014,148.36419480059448,402,Summer,9,275.85514146432416,102.13240880704853,32,80,1,26.489586575931305
Adyar,12.814602527144277,80.18721564430695,2254,142,54.270865469427065,129.7306739857425,360,Rainy,17,307.57989129314706,117.16856767253854,31,54,3,23.28029833142978
Mogappair,12.815530441749427,80.29927599533403,4841,107,66.17451821726559,85.70364233924857,477,Summer,6,192.17619683618778,148.3367367304619,33,57,3,56.46839837230768
Guindy,13.096487980463062,80.15356851880732,4963,72,46.401311241085885,144.63871280416004,104,Winter,15,481.4914463302999,55.955538166605606,33,98,9,45.07642290504043
Nungambakkam,13.093126339444405,80.27304414524453,4611,70,94.72351197404554,77.54002872900833,125,Summer,19,354.84452849412673,166.60720630942893,25,61,4,57.20985992070462
Velachery,13.065313999250971,80.14488441198985,3918,62,50.87178786053841,60.86505772940846,87,Winter,12,314.040844579384,93.51547382321709,54,70,2,48.8791298990332
Perambur,13.171326727971392,80.24691624004264,2895,101,94.45182947279005,60.1354599338631,101,Winter,11,167.47132586542614,169.15974432729513,33,91,2,31.5844239811916
Kodambakkam,13.135027573713025,80.16202268544203,2731,139,34.12694180092599,50.75796583605117,172,Winter,16,499.32887405702667,194.4566136704011,31,56,4,54.463343354210295
T. Nagar,13.091553047662496,80.110914222707,3895,124,42.65598792094688,76.89352145537529,171,Winter,5,289.4870934573594,110.73300590902727,32,88,9,48.09388562288085
Royapettah,13.039013953583574,80.27703908283314,4455,129,74.31432209215927,61.726070821598945,431,Winter,7,414.283657652153,161.70740909985363,20,95,5,41.4119968978593
Adyar,13.061062992949033,80.20524766544527,4791,122,67.83422258717563,62.30081084632552,285,Rainy,7,228.73525711511496,179.88736920051946,26,90,9,46.45868197671939
Vadapalani,13.084119205663779,80.29006630997104,3372,145,89.88013743497861,143.04594526566189,427,Rainy,16,122.96278281713819,60.163714835595215,59,93,6,50.137716082779775
Perambur,13.061384163944163,80.24249417353265,4159,98,86.11077036902432,74.61643280243884,418,Rainy,19,173.27446624666348,136.37448037202535,15,50,5,39.548863981420524
Poonamallee,12.993324443780013,80.14217551878254,3277,129,35.67665148421137,54.6818268377244,276,Summer,14,209.3458641670875,120.5428963543366,28,64,8,47.96693878641619
Porur,12.976150333976502,80.23305300270304,3504,86,50.0238146481215,112.92064085111176,474,Rainy,17,162.5786997558552,129.65927732588,20,81,4,56.07827429155701
Avadi,13.111510445777654,80.24871041845269,2470,124,69.39599788609954,103.70310868912433,441,Summer,18,431.7817143697493,181.4640958520411,38,77,4,28.48280697318421
Anna Nagar,12.801279713832084,80.27473866511177,4546,126,45.43646225368105,63.69764092272254,374,Rainy,13,127.5077348452248,57.322925076811444,50,66,5,39.456025168051895
Thoraipakkam,12.843494164824305,80.25388404589188,4324,97,87.318453829607,102.90347975298437,331,Rainy,8,108.91070714870912,162.7171361318151,48,94,7,45.564183242878606
Royapettah,13.018714448442175,80.2351227606309,4219,98,85.66552121110772,94.43919990644045,72,Winter,7,318.75022427166,96.6068522393018,30,72,5,51.097044401576994
Egmore,12.991362075412452,80.14537228172705,4161,53,53.182909339331175,95.23701494386535,395,Winter,14,341.60508198913897,117.4741273139123,19,64,9,23.700188705767353
Villivakkam,12.850061278420409,80.10866548258676,4375,104,94.67096826938564,60.38091061742655,305,Winter,11,466.7071259834645,168.01351007071727,15,96,1,20.303308942949464
Guindy,13.175515530875867,80.14691958485272,4737,99,77.33601327189021,136.3038425824239,139,Winter,17,242.11784503616948,57.458717297770676,22,73,4,25.39731468918742
Pallikaranai,13.109802997776706,80.16221599420653,4726,131,49.54636131229917,120.96850525070306,139,Summer,5,186.34123657463758,125.11845802623323,51,88,8,31.535964601197712
Tambaram,12.940678439666858,80.1963229623732,4591,141,75.6140386753394,135.65356698502495,122,Rainy,18,212.03110856446028,185.07240496952232,21,80,8,58.69399490348351
Porur,13.10464342565502,80.18629254314905,4796,76,59.66368688054187,102.15035365581734,296,Summer,8,371.7335453669119,57.466874684268596,47,69,4,30.685842258057257
Medavakkam,13.062572537858864,80.16101078898656,2099,102,30.627447288170085,144.3083470939814,126,Rainy,19,145.6137370020261,84.34852250102253,38,94,3,36.47926609460219
Vadapalani,13.024757415628523,80.23056275745255,4945,143,72.03669857510329,89.84161491899391,154,Rainy,18,473.6539688501345,97.36011069589996,35,88,8,24.725947589004036
Sholinganallur,13.03872088633617,80.14599520574377,2341,132,37.994022340436814,120.29409090976738,309,Rainy,6,219.14041046966128,166.03181326142254,33,56,9,34.43221928558832
Tambaram,12.869697782300225,80.2659027546789,3217,61,45.55893548799868,149.76723821166252,178,Winter,18,415.992615703349,81.44105256488389,23,90,9,49.38580152060975
Ambattur,13.136626887415852,80.27250400371179,4834,121,81.95039745732423,103.43147148731148,415,Rainy,5,218.77621526035162,50.3752670226875,58,62,2,31.742958879364114
Pallikaranai,13.16791033790031,80.26808419414553,1928,52,79.952592623411,52.50134694446036,161,Winter,11,213.7820709237867,124.1011911006543,40,85,5,24.16816040803955
Thiruvanmiyur,12.86643931060606,80.11966793496856,4089,110,30.920753570014977,56.754835602564825,210,Rainy,7,498.37900872270205,53.60281032546499,28,94,6,28.239096149880307
Royapettah,13.101786044066568,80.25850158506239,4639,127,57.242594669086145,50.583776918507354,287,Rainy,19,352.1045616406714,100.26970543074071,56,78,4,22.416968329872926
Poonamallee,13.191410609808091,80.25295688315096,4488,110,59.323515730648595,105.83264139401619,425,Rainy,9,120.8465634912681,100.63605247985546,18,56,3,53.32929999387787
Thiruvanmiyur,13.195113495475056,80.2058985914742,4106,116,54.87016298647798,135.73912783692342,269,Summer,11,302.09320750210105,108.91434694124874,53,79,1,55.4855702294787
Mogappair,13.115148419085495,80.22763371834117,1040,139,71.79583011279797,138.31599892483382,425,Winter,9,344.2225494142598,176.01030487833418,19,80,5,44.18485087196966
Royapettah,12.971888881178938,80.27201571184047,2794,83,56.781832892420944,82.24033283916084,410,Summer,10,129.27215195326806,68.49618531029613,43,99,1,33.855241764383734
Vadapalani,12.849797515690259,80.11002462166473,3304,113,31.99554973333469,96.16195746687399,366,Summer,16,379.08789614516627,109.94073400313962,37,85,9,52.23785472951818
Kodambakkam,12.897312339936802,80.17833024697549,2931,62,85.89645037422096,103.06875328828315,449,Summer,14,132.1444983316189,61.87802795764544,47,88,5,35.6166100860665
VIT Chennai,12.84885622525396,80.15223306472029,1704,87,67.8392499778696,70.0270604810474,487,Winter,6,240.4515832697252,100.65853981893883,48,82,3,59.4592717051434
Teynampet,13.153406114552368,80.17598746681026,3893,138,33.77970373803455,109.41909738961573,254,Winter,16,284.835693521043,98.3369751897406,56,65,9,58.212741162312945
Avadi,13.021838106680939,80.1105407904713,2717,124,57.735479250470334,74.68751770332446,264,Winter,11,493.88480212650796,189.1846216968212,19,88,7,39.9127838696538
Pallikaranai,13.021047224543647,80.2372423321814,1912,92,90.39068915017633,63.82598365343376,347,Rainy,6,318.05610707020094,155.4772158389095,21,77,2,52.50618315708025
Triplicane,12.951921377560401,80.28813552864746,4769,62,66.80733831851708,89.72466969923812,298,Summer,7,275.7192032159388,101.2619560425174,58,69,8,28.18131306553587
Kolathur,12.81177605145988,80.16162292313071,2142,75,80.33148204075411,112.19515394327195,200,Rainy,18,424.87959310773624,160.9342074551834,26,79,2,36.82648906908821
Guindy,13.067068977555065,80.28126217697695,4577,77,71.58875040159873,117.86449283415746,63,Summer,19,243.23176682915744,75.17476555087543,38,78,1,44.884663590312414
Avadi,12.86436207372928,80.13281892079198,4391,103,68.5869437800946,88.55343634002324,322,Summer,5,241.7154217192046,170.935582686273,56,50,5,30.514806679942012
Kolathur,13.007426122889116,80.12932660153756,4737,86,83.55522482646421,101.96782144463728,343,Summer,10,116.38140185820257,107.22658227298231,44,90,5,50.04743165818136
Mogappair,13.021172582966518,80.20899872866778,3456,112,76.1860469252457,97.71338312178679,141,Winter,7,183.05696312990335,126.3426410622765,38,80,5,48.69393899501951
Medavakkam,13.076181568089538,80.15623838645526,1643,70,39.896821429392375,103.59759702480807,202,Rainy,14,395.25850458083715,153.40248359508038,49,65,7,46.14626926463005
Guindy,12.911034374490058,80.21115521523758,1435,75,95.51394201724048,62.73950061016447,56,Winter,18,244.038035081883,97.08930135390762,59,69,5,33.28626142192037
Chromepet,12.969143335033149,80.18070244601128,3081,143,86.03249178214136,120.18985654241902,461,Winter,7,187.70153369601772,84.2689164252347,58,88,7,49.8645612751964
Saidapet,13.024557444440905,80.28032160760938,4192,94,87.30774893433438,120.34567084713639,133,Winter,8,334.5577180562354,125.24033120236979,56,65,5,24.0917561469414
Sholinganallur,12.941316961225175,80.12728914832725,4885,97,76.73959335014239,95.49163558437866,219,Winter,11,142.0795271030147,184.8007385582253,50,61,9,58.664271510768785
Triplicane,12.945164657223254,80.17780836350381,1401,131,76.8684907997082,106.6003011672004,112,Rainy,10,400.73903948307486,62.428399688618605,30,52,6,45.15138264061821
Egmore,12.863546440297913,80.25452858096165,4930,141,37.106281458303094,104.29428285616186,442,Rainy,14,389.0864287397973,188.65676909933137,16,75,6,33.270963637580635
Kolathur,12.88837137801403,80.13134379912665,1934,127,62.577777089414205,96.35664533295093,199,Rainy,12,286.21097587102975,64.26380898404501,36,57,9,34.58731125446048
Poonamallee,12.942852148249083,80.20926903162555,1105,94,90.68268172888543,72.69525269282369,359,Rainy,15,195.16292434831894,163.65892346463698,39,96,4,20.363387620492766
Velachery,12.841630258027699,80.24625457544906,4220,121,56.705180908825064,62.20984659405233,247,Rainy,14,161.60538907275287,101.18278485456756,24,62,6,58.373170843961766
Velachery,13.156747180274103,80.20453973650363,2650,61,58.866047253990786,92.00825702015833,236,Summer,13,486.78778460728887,100.9088095086609,36,55,5,43.27046952739825
Royapettah,12.975026500897213,80.28060266202269,3960,82,41.6734328766054,135.97922378998726,191,Summer,11,173.5494398939395,195.07393347481278,16,76,5,59.144591217218796
Chromepet,13.100933256153096,80.18875138724515,4482,149,37.818031119134496,80.65484084056709,141,Rainy,18,297.2418267616802,58.8774899490754,49,63,3,29.113425873651735
Teynampet,12.98541400693494,80.14999913109017,3301,103,55.76281095277086,114.35461844114062,403,Summer,11,268.59462746032807,159.00505022940717,37,61,9,38.98776142717773
Thiruvanmiyur,12.89826546446678,80.162118145872,3820,83,91.81690332408837,79.89046002894051,497,Summer,6,157.1250321910975,69.43662148384936,15,74,9,35.06365531114031
Saidapet,12.97024321665025,80.26082607312718,2662,133,41.41638587555531,76.32265559426558,179,Rainy,8,409.2141014632261,79.42094852084499,35,71,7,25.588349144718357
Adyar,13.1689415552444,80.26705194742074,4928,114,73.10255661698233,77.77480781834836,62,Winter,19,182.1418680033446,163.03756372189406,44,59,2,44.56419312659498
Velachery,13.199469119658978,80.24412561291011,3970,136,35.75277719414677,100.4233425110065,242,Winter,18,435.72874843074806,94.0870137897384,52,55,1,55.27080881948446
Royapettah,13.0402862313859,80.12726065929945,3183,149,43.67420652046816,63.0196384882751,456,Rainy,9,265.23830311366004,185.0335950871657,30,71,3,20.42788876841803
Velachery,13.0574008493203,80.19882002088455,2307,81,77.05507641398205,78.12094155849141,386,Rainy,11,388.04149531232287,56.69159607097493,21,57,2,22.37435759884216
Medavakkam,13.146794458653408,80.25380641028912,1434,95,76.0426903909478,110.50237798345223,123,Winter,19,470.5182987188539,108.15356574997574,51,85,3,55.279791684181866
Triplicane,13.167969599857269,80.11993145769895,3916,112,93.4211882813471,64.97205037012608,322,Rainy,12,399.87928385410896,52.90803342052405,35,59,9,54.429365590502464
Tambaram,12.959845802804978,80.19519379130857,3428,115,40.62384472772478,89.66795400274117,154,Summer,16,498.7704348936797,67.77574182970179,33,97,7,36.57050221812506
Saidapet,12.911083268092726,80.27614579729004,4030,124,78.72936190387644,57.046397845254724,494,Summer,6,268.8580258509288,69.63901319602508,40,88,1,35.62339654008497
VIT Chennai,13.086607756509375,80.12526043253555,4222,132,94.02481980732585,65.90817172769748,80,Winter,18,415.00938305293187,102.48870751391146,42,79,3,22.789784119007525
Ambattur,13.057940017611726,80.19853752015534,4537,143,73.72945301825754,144.46375747484154,404,Rainy,13,387.7787454479951,171.17145094716432,25,62,3,54.5109358086615
Tambaram,12.99821153927844,80.13255276361942,2666,110,71.62444662870715,101.89393611804044,292,Winter,13,158.26199774856673,69.01279656850724,52,99,8,22.058381865636992
Medavakkam,13.131173843098068,80.27236190921116,2393,84,40.710400062463926,59.357929028904536,186,Rainy,13,131.40399072369996,87.48428368132357,43,80,8,47.67222040367136
Teynampet,13.151628101550942,80.13398414385804,4567,126,45.273589698277966,73.8030491906765,489,Rainy,14,101.51177780685896,156.18706865040068,46,53,2,39.101122716668804
Tambaram,13.082959734169886,80.11258009680783,2445,84,69.98310389196998,131.7728954242478,87,Winter,9,211.1819522047864,54.390756870766694,28,80,3,41.53770204710292
Guindy,12.913175250850964,80.14031909550923,4636,108,33.99753474459399,51.330433876922655,302,Winter,15,152.44888211559947,168.2864905427433,53,79,7,50.15785320825509
Poonamallee,13.0463578461628,80.2071904944168,2800,113,93.29404381750044,122.34065266918635,408,Winter,11,421.1026926238806,186.9715525819841,45,60,2,49.83000045202342
Egmore,12.97790254252454,80.27616778892784,4109,118,59.21472224344908,75.73729125355621,63,Winter,6,432.06858429946465,117.07069949646852,27,93,7,24.7254716122344
Tambaram,13.19564681823523,80.12067583134885,2414,128,76.25997251295769,86.49694066837375,222,Summer,9,298.00225814257135,79.87799802213327,31,62,9,33.9424616255205
Kolathur,13.089271225091137,80.2993342348357,4260,104,62.06737076501446,98.18315633408338,417,Winter,16,424.0150578027176,185.23037554432804,56,66,8,56.350729145172394
Villivakkam,13.142792096032672,80.2914961352656,3299,132,85.21361485424217,122.40453500303498,52,Rainy,5,325.8745304463623,165.78404844592313,15,86,5,21.651623900628664
Ambattur,12.984609574395582,80.12037460945749,4666,104,73.29746119772908,144.3028263561525,218,Winter,13,495.99985257601634,108.38670376452379,59,52,8,41.23571363947262
Perambur,12.847407594329393,80.28231586783917,4729,97,72.05224996107495,139.3323037569399,188,Rainy,7,187.40233118622268,70.24989321271613,27,63,9,20.627113114002373
Velachery,12.889605322338609,80.29754862286386,3943,91,49.01023767348229,129.58163641609377,313,Summer,9,342.5282815925032,147.1435320597493,20,83,5,50.78811043561839
Pallikaranai,13.11199768036204,80.29080870848551,4236,66,82.48609214637958,75.18014335381923,467,Winter,5,333.4689471160194,126.53841223481497,50,61,2,22.030741951914464
Velachery,13.116906840587662,80.1774312304459,4735,127,51.10649083050596,137.42747098977912,371,Summer,10,111.43397454022792,196.9992977158286,37,76,6,49.463150670121294
Mogappair,13.02772217800633,80.21879051397354,4852,71,95.00154225771409,52.64579105569148,59,Summer,16,446.341436222949,186.723248725338,38,77,2,57.069789185164545
Thoraipakkam,12.940539019715319,80.12119360034043,1298,61,72.3363321916593,84.54443620583876,475,Winter,15,404.16118154406877,54.26537421422612,29,80,7,21.244851957560215
Porur,13.0229872089099,80.23706898704455,4905,82,89.99891648272963,137.2167420922734,225,Rainy,12,498.3127591276439,162.6596264896507,56,56,3,53.5167656504564
Sholinganallur,12.866288899690417,80.14318124206562,3782,81,73.96157585265962,85.84426359155972,472,Summer,14,455.2511973517297,129.56794440814016,43,58,1,23.180337202961656
Kodambakkam,13.08362805974621,80.12924272867481,2011,125,77.76380212344395,116.1488798467463,309,Summer,6,290.86337888016664,199.74074143755985,34,56,2,46.9769298249032
Nungambakkam,12.876225214731924,80.15799236705521,4264,135,30.324279007249594,113.18626842288022,372,Rainy,8,372.03079596608615,184.64539506726646,35,82,2,44.43726431365188
Porur,12.922547549236429,80.18292508340993,4129,75,94.20704499547027,57.29928973810331,476,Rainy,14,286.4104736228487,95.54755765902215,48,59,2,30.6375466674871
Poonamallee,12.93642822647431,80.16793358548071,4609,107,89.77910457597983,132.22343398491032,244,Winter,9,291.9016824350914,172.43919519885992,44,96,9,26.918908213280336
Ambattur,12.801698256930262,80.21743108965985,3608,117,94.91957585447562,110.32159811151928,181,Winter,11,234.1381269352864,156.8779978803936,44,85,9,25.2054138648027
Thoraipakkam,12.968919772697472,80.11349583944802,4831,128,36.902720786196525,61.452695088440024,223,Winter,17,316.0617979756811,164.0677284214338,26,60,8,23.123866588244244
Egmore,13.132038166950984,80.15198003221631,1638,79,38.74815229860827,92.41942707974313,240,Summer,11,493.62314054502536,195.35824477282011,57,95,9,32.21157243267065
Nungambakkam,12.869508570149627,80.18094378585153,3702,72,56.3738301306976,66.11732081624079,434,Rainy,15,336.0144686662294,171.63923221563874,15,67,6,39.323529526366514
Teynampet,12.955674214493026,80.21440872522837,2785,105,39.287769777708384,98.35915001863066,444,Summer,17,285.7683855953246,140.8795093805954,27,73,7,20.072937785298137
Porur,13.118552673152564,80.18803088967118,3007,146,63.70643522226175,58.36386137482094,68,Summer,14,111.67552251175454,107.53108686930884,46,62,4,46.2066970070928
Kolathur,13.013002437969396,80.19021737563016,4604,148,98.05549901179593,109.71205882162968,417,Summer,7,342.2900416946467,90.59523613967247,53,57,1,42.1886388790841
T. Nagar,12.973440823768055,80.18844796022502,4555,80,73.67591528160824,80.60341453417288,308,Winter,15,318.5159440879247,171.62343040143935,58,69,2,47.1823428493011
Velachery,12.984269176376522,80.26309210647963,2766,105,97.57078265439459,109.75824894669182,297,Summer,6,280.99079721359976,120.62611859067522,59,67,5,29.67529451407089
Villivakkam,13.141888854916028,80.13916134545758,2855,94,58.529252941715484,147.33927374848741,310,Summer,8,158.605205833257,113.98886269593297,23,69,4,38.570848206019804
Mogappair,12.82999240390699,80.27937041567668,3012,54,51.35412208509274,125.86449728975488,79,Summer,5,291.79203053131283,130.01459792120832,22,51,4,29.358315772939022
Medavakkam,12.980588112700065,80.16845100312406,4253,107,42.15365748540478,98.60492816690659,398,Summer,12,146.47809762120087,129.1236972328494,41,81,4,49.80381464795492
Anna Nagar,13.097731357426555,80.28292065849573,2892,94,64.31585123150495,89.95603697138235,240,Summer,5,493.3306003431501,84.98409082298343,28,92,1,27.901701273394508
Thiruvanmiyur,13.049845698463265,80.12855006916821,3585,123,30.575968856838738,103.72289150302635,354,Winter,15,487.10214123183994,74.40579607807149,56,54,9,48.155244978484575
Villivakkam,12.834808415829647,80.26007545561968,1505,124,47.35001592518989,125.60990045867196,478,Winter,9,269.8097038495183,54.87395498103257,59,50,1,38.36482296616272
Tambaram,13.096757750545953,80.10831562670025,4598,111,81.24582948686745,106.8650623754035,275,Summer,13,490.15454675413207,60.353283603818525,27,57,6,32.30685193282016
Purasaiwakkam,13.010829343937344,80.2853919157982,4998,63,79.60099922210216,144.00262598014567,359,Rainy,15,248.26566901280268,189.82505554228183,25,94,9,28.904604784743576
Mogappair,13.037535160616745,80.29400186239526,3998,137,61.28767367976793,132.45235974352204,264,Rainy,14,403.3266157588515,162.961452384015,47,58,4,51.37091345226794
Pallikaranai,13.02587784913208,80.11015814292591,4422,147,31.84333997296097,143.81026120752563,482,Summer,19,168.303458407259,142.68976532683251,31,70,6,50.59582793793018
